Date,Open,High,Low,Close,Adj Close,Volume
6/10/2020,2387,2393.149902,2282.199951,2292.25,2268.405518,3106338
6/11/2020,2316,2345,2300,2309.949951,2285.921387,2056461
6/12/2020,2242,2415,2230.699951,2401.850098,2376.865723,3296719
6/15/2020,2394.949951,2394.949951,2316,2348.149902,2323.724121,1416097
6/16/2020,2380,2435.699951,2360,2395.949951,2371.026855,2145404
6/17/2020,2377.25,2390,2341,2363.300049,2338.716553,1731506
6/18/2020,2360.25,2380,2342.199951,2364.949951,2340.349365,1087739
6/19/2020,2375,2382.800049,2332.25,2355.850098,2331.344238,3602756
6/22/2020,2371.149902,2447.100098,2361,2412.600098,2387.503906,3042752
6/23/2020,2444.949951,2444.949951,2405.600098,2418.850098,2393.688721,996657
6/24/2020,2450,2545,2439.75,2493.800049,2467.859131,3354520
6/25/2020,2472.949951,2585,2454.149902,2559.699951,2533.073486,3281309
6/26/2020,2580,2590.649902,2530.800049,2540.449951,2514.023682,1351753
6/29/2020,2530,2530,2468,2504.050049,2478.002686,1131627
6/30/2020,2549,2568.350098,2512,2546.949951,2520.456055,1441648
7/1/2020,2556,2575.050049,2530,2547.449951,2520.950928,1336764
7/2/2020,2550,2685,2550,2671.399902,2643.611572,3353340
7/3/2020,2680,2750,2677.600098,2738.25,2709.766357,2637811
7/6/2020,2750.300049,2779.050049,2715,2770.949951,2742.126221,1716058
7/7/2020,2762,2788.5,2727.600098,2749.300049,2720.701416,1223502
7/8/2020,2760,2777.949951,2710,2719.199951,2690.914551,974918
7/9/2020,2725,2727.699951,2666.550049,2691.449951,2663.453125,1383528
7/10/2020,2690,2734.5,2671.600098,2681.25,2653.359375,1205528
7/13/2020,2701.949951,2714.350098,2670.350098,2689.699951,2661.721191,713590
7/14/2020,2672,2681.649902,2604,2611.850098,2584.681152,921721
7/15/2020,2606.149902,2680,2606.149902,2648.050049,2620.504395,1188285
7/16/2020,2650,2725,2613.050049,2714.800049,2686.560303,1607439
7/17/2020,2715.300049,2775,2703,2764.050049,2735.298096,969122
7/20/2020,2764.050049,2873.449951,2742.199951,2860.149902,2830.398193,1674943
7/21/2020,2860.199951,2885.699951,2847,2869.149902,2839.304443,1289304
7/22/2020,2860,2860,2753.050049,2768,2739.206787,1349352
7/23/2020,2775,2792.949951,2745.350098,2771.199951,2742.373291,1117663
7/24/2020,2753,2795,2728.100098,2740.699951,2712.190674,701462
7/27/2020,2759,2759,2688.399902,2743.600098,2715.060791,662841
7/28/2020,2752.600098,2850,2745.050049,2841.25,2811.694824,1836163
7/29/2020,2859.25,2880.449951,2768.399902,2780,2751.082031,1092469
7/30/2020,2773,2789.949951,2688,2703.949951,2700.104492,1497969
7/31/2020,2705,2709.699951,2646.449951,2676.5,2672.693604,1260570
8/3/2020,2700,2769.800049,2620.75,2631.300049,2627.557861,2281990
8/4/2020,2663.75,2732.800049,2640.050049,2706.100098,2702.251465,2033677
8/5/2020,2719.199951,2740,2672,2695.75,2691.91626,997234
8/6/2020,2717,2733,2675,2704.449951,2700.60376,859485
8/7/2020,2710,2720,2670.100098,2706.199951,2702.351318,854109
8/10/2020,2718,2718,2674.149902,2702.149902,2698.306885,684596
8/11/2020,2725,2775,2704,2712.850098,2708.991943,1617202
8/12/2020,2721,2796,2705.300049,2774,2770.054932,1798834
8/13/2020,2790,2820,2746.300049,2809.649902,2805.654053,1299029
8/14/2020,2800.5,2843.5,2756.050049,2803.800049,2799.8125,2158769
8/17/2020,2812.800049,2934.100098,2810,2927.199951,2923.036865,2723654
8/18/2020,2927,2964,2905.300049,2924.149902,2919.991211,1530968
8/19/2020,2945.949951,2998.800049,2921.449951,2933.050049,2928.878662,2016727
8/20/2020,2912,2964.899902,2892.649902,2956.050049,2951.845947,1185217
8/21/2020,2978.699951,3049.75,2957.050049,3033.449951,3029.135986,2012976
8/24/2020,3037,3075.5,3001.050049,3015.050049,3010.762207,1706107
8/25/2020,3044,3052.949951,2957.850098,2969.75,2965.526611,1323587
8/26/2020,3110,3181.350098,3070,3160.75,3156.254883,4651022
8/27/2020,3159,3170,3107.5,3141.75,3137.281982,1431518
8/28/2020,3119.050049,3164,3050.649902,3059.300049,3054.949219,1838010
8/31/2020,3070,3088.899902,2966.100098,3006.050049,3001.774902,1808588
9/1/2020,3030.050049,3074.300049,2975.5,2995.600098,2991.339844,1357833
9/2/2020,3034.949951,3039.800049,2876.149902,2943.550049,2939.36377,2809547
9/3/2020,2975,3006.149902,2930.949951,2941.399902,2937.216797,1512714
9/4/2020,2918.850098,2976.5,2867.600098,2915.199951,2911.053955,1508195
9/7/2020,2930,2934.899902,2852,2860.149902,2856.082275,1476038
9/8/2020,2871,2903.199951,2852,2863.199951,2859.12793,1263479
9/9/2020,2847,2920,2830.199951,2904,2899.870117,1995585
9/10/2020,2920,2957.399902,2888.25,2948.75,2944.556396,1629594
9/11/2020,2949.149902,3007.699951,2948.75,2992.25,2987.994629,1525239
9/14/2020,3014.949951,3039,2956,3028.5,3024.192871,1537220
9/15/2020,3028.5,3051.699951,3005.050049,3037.149902,3032.830566,915275
9/16/2020,3033,3105,3024.649902,3056.199951,3051.853516,1603512
9/17/2020,3042.800049,3098,3030.050049,3061,3056.646729,914287
9/18/2020,3080,3121.850098,3075.100098,3112.649902,3108.223145,1362732
9/21/2020,3122,3124.449951,3033.050049,3055.350098,3051.004883,826132
9/22/2020,3040,3052,2960,3000.149902,2995.883301,1099375
9/23/2020,3000.5,3043,2924.949951,2956.75,2952.544922,1256820
9/24/2020,2911.350098,2949,2900,2918.300049,2914.149658,1020064
9/25/2020,2934.550049,3015.149902,2925.100098,3002,2997.730713,1263899
9/28/2020,3047,3095.75,2992.5,3088.899902,3084.50708,1422073
9/29/2020,3105,3222.050049,3104.5,3174.949951,3170.43457,3394236
9/30/2020,3198,3198,3135,3147.300049,3142.823975,1175373
10/1/2020,3165,3199,3111.699951,3151.449951,3146.968018,1459005
10/5/2020,3225,3230,3094.199951,3129.199951,3124.749756,1374983
10/6/2020,3142.600098,3177.899902,3117,3136.350098,3131.889648,849216
10/7/2020,3140,3249.949951,3138.050049,3233.649902,3229.051025,2071160
10/8/2020,3250,3292.800049,3235.649902,3279.149902,3274.486328,1414044
10/9/2020,3300,3340,3267.050049,3327.399902,3322.667725,1358012
10/12/2020,3350.800049,3355.550049,3273.75,3284.699951,3280.028564,1438726
10/13/2020,3283.5,3303,3256.199951,3288.050049,3283.373779,847392
10/14/2020,3303,3332.949951,3270,3310.800049,3306.091553,1188612
10/15/2020,3312,3379.550049,3290.100098,3314.300049,3309.58667,1817305
10/16/2020,3315,3394.899902,3301,3346.449951,3341.690674,1461910
10/19/2020,3352.050049,3358.5,3230.550049,3248.699951,3244.079834,1056638
10/20/2020,3249,3292.5,3230.449951,3237.600098,3232.995605,1198126
10/21/2020,3250,3280,3132.149902,3178.350098,3173.829834,2045833
10/22/2020,3176.899902,3176.899902,3062.399902,3081.5,3077.117676,1640304
10/23/2020,3100,3152.949951,3089.899902,3111.050049,3106.625732,1707899
10/26/2020,3120,3120,2875,2897.949951,2893.828613,4182675
10/27/2020,2925,2977.899902,2855.550049,2911.949951,2907.808594,3089586
10/28/2020,2995,3035,2930.350098,2946.199951,2942.01001,5321192
10/29/2020,2935,2962.350098,2885,2894,2889.884277,2345545
10/30/2020,2913.899902,2928.5,2787,2799.800049,2795.818359,3110768
11/2/2020,2888,2888,2812,2835.649902,2831.617188,2671709
11/3/2020,2860,2949.449951,2847,2937.399902,2933.222412,2352020
11/4/2020,2940,2978,2910.100098,2968,2963.779053,1868196
11/5/2020,2990,2995.899902,2926.800049,2944.350098,2940.162842,1195194
11/6/2020,2943,2983,2925.199951,2945.449951,2941.260986,1182126
11/9/2020,2970,2989,2930,2954.25,2950.048584,1175877
11/10/2020,2987,2987,2922.949951,2951.25,2947.052734,1352612
11/11/2020,2980,3075,2953.199951,3060.149902,3055.797852,2829916
11/12/2020,3060,3100,3037,3085.800049,3081.411621,2093558
11/13/2020,3089,3134.899902,3071.100098,3128.899902,3124.450195,1274593
11/17/2020,3146.399902,3148,3001,3031.300049,3026.989014,1933560
11/18/2020,3041.850098,3048.949951,2943.699951,2983,2978.757568,1956934
11/19/2020,3029,3136.75,2975.149902,2988.5,2984.249756,4282399
11/20/2020,2999,3018.949951,2965.649902,2998.649902,2994.385254,1531471
11/23/2020,3024.600098,3074,2982,3059.75,3055.398438,1653325
11/24/2020,3056,3109.649902,3041.649902,3074.149902,3069.777832,1517541
11/25/2020,3079.5,3094.850098,3001,3008.75,3004.470947,1110258
11/26/2020,3008,3049.649902,2976.100098,3024.550049,3020.248535,859782
11/27/2020,3049,3118.550049,3032,3108.850098,3104.428711,3266924
12/1/2020,3120,3129.899902,3075.050049,3110.25,3105.82666,1503427
12/2/2020,3113,3177.100098,3091,3126.199951,3121.753906,1748207
12/3/2020,3156,3167,3125.5,3139.850098,3135.384766,974736
12/4/2020,3151,3202,3150,3180.449951,3175.926758,1089915
12/7/2020,3179.899902,3217.949951,3135.600098,3174.050049,3169.536133,991744
12/8/2020,3175,3204.800049,3154.649902,3167.949951,3163.44458,644753
12/9/2020,3174.949951,3204,3156.149902,3190.699951,3186.162354,669455
12/10/2020,3180,3207.75,3166,3194.300049,3189.757324,559968
12/11/2020,3200,3239.5,3169,3185.300049,3180.77002,1276394
12/14/2020,3214,3214,3105,3113.649902,3109.22168,1421591
